countyId,cimer,zaszlo,szekhely,lakosokszama
1,"","","",""
2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bacs-kiskun-megye.svg/102px-Bacs-kiskun-megye.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_B%C3%A1cs-Kiskun_County.svg/112px-Flag_of_B%C3%A1cs-Kiskun_County.svg.png,Kecskemét,513687
3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/HUN_Baranya_megye_COA.png/112px-HUN_Baranya_megye_COA.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Baranya_County.svg/112px-Flag_of_Baranya_County.svg.png,Pécs,363000
4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Coa_Hungary_Town_B%C3%A9k%C3%A9s_big.svg/112px-Coa_Hungary_Town_B%C3%A9k%C3%A9s_big.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_B%C3%A9k%C3%A9s.svg/112px-Flag_of_B%C3%A9k%C3%A9s.svg.png,Békéscsaba,336000
5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Borsod-Aba%C3%BAj-Zempl%C3%A9n_departemento_blazono.svg/108px-Borsod-Aba%C3%BAj-Zempl%C3%A9n_departemento_blazono.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/FLAG-Borsod-Aba%C3%BAj-Zempl%C3%A9n-megye.svg/112px-FLAG-Borsod-Aba%C3%BAj-Zempl%C3%A9n-megye.svg.png,Miskolc,648000
6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/HU_Csongr%C3%A1d_megye_COA.svg/112px-HU_Csongr%C3%A1d_megye_COA.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Csongrad-Csanad_megye.svg/112px-Flag_of_Csongrad-Csanad_megye.svg.png,Szeged,400000
7,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Coa_Hungary_County_Fej%C3%A9r_%28history%29.svg/112px-Coa_Hungary_County_Fej%C3%A9r_%28history%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/FLAG-Fej%C3%A9r-megye.svg/112px-FLAG-Fej%C3%A9r-megye.svg.png,Székesfehérvár,416000
8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/HUN_Gy%C5%91r-Moson-Sopron_megye_COA.png/95px-HUN_Gy%C5%91r-Moson-Sopron_megye_COA.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/FLAG-Gyor-Moson-Sopron-megye.svg/112px-FLAG-Gyor-Moson-Sopron-megye.svg.png,Győr,461000
9,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/HUN_Hajd%C3%BA-Bihar_COA.svg/112px-HUN_Hajd%C3%BA-Bihar_COA.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/FLAG-Hajd%C3%BA-Bihar-megye.svg/112px-FLAG-Hajd%C3%BA-Bihar-megye.svg.png,Debrecen,530000
10,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Coa_Hungary_Town_Heves.svg/112px-Coa_Hungary_Town_Heves.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Heves.svg/112px-Flag_of_Heves.svg.png,Eger,295000
